invoice_id,invoice_date,vendor_id,vendor_name,currency,line_item_number,item_code,description,quantity,unit_price,line_total,po_id,po_quantity,po_unit_price,po_line_total,grn_id,grn_quantity,mismatch_type,is_mismatch
INV0001,23-11-2024,V004,Vendor_4,USD,1,ITM0048,Component gadget widget device assembly,19,213.85,4063.15,PO0001,19,213.85,4063.15,GRN0001,19,item_not_in_po,1
INV0001,23-11-2024,V004,Vendor_4,USD,2,ITM0002,Gadget assembly widget,7,359.43,2516.01,PO0001,7,359.43,2516.01,GRN0001,7,MATCH,0
INV0001,23-11-2024,V004,Vendor_4,USD,3,ITM0045,Module assembly component part device gadget module,9,81.96,737.64,PO0001,9,81.96,737.64,GRN0001,9,MATCH,0
INV0001,23-11-2024,V004,Vendor_4,INR,4,ITM0049,Widget module module module component,2,366.22,732.44,PO0001,2,366.22,732.44,GRN0001,2,currency_mismatch,1
INV0001,23-11-2024,V004,Vendor_4,EUR,5,ITM0035,Accessory module assembly,20,443.3,8866.0,PO0001,20,443.3,8866.0,GRN0001,20,currency_mismatch,1
INV0002,04-07-2024,V019,Vendor_19,EUR,1,ITM0046,Widget component component,3,428.38,1285.14,PO0002,3,428.38,1285.14,GRN0002,3,MATCH,0
INV0002,04-07-2024,V019,Vendor_19,EUR,2,ITM0007,Component unit module module gadget component,3,306.52,919.56,PO0002,3,306.52,919.56,GRN0002,3,MATCH,0
INV0002,04-07-2024,V019,Vendor_19,EUR,3,ITM0011,Device gadget module accessory unit unit device,2,135.37,236.76,PO0002,2,118.38,236.76,GRN0002,2,price_mismatch,1
INV0002,04-07-2024,V019,Vendor_19,EUR,4,ITM0003,Module widget accessory unit device,7,329.44,2306.08,PO0002,7,329.44,2306.08,GRN0002,7,MATCH,0
INV0002,04-07-2024,V019,Vendor_19,EUR,5,ITM0026,Gadget gadget device assembly device module,19,202.7,3851.3,PO0002,19,202.7,3851.3,GRN0002,19,MATCH,0
INV0003,22-04-2024,V005,Vendor_5,INR,1,ITM0006,Part gadget gadget,14,300.22,4203.08,PO0003,14,300.22,4203.08,GRN0003,14,MATCH,0
INV0003,22-04-2024,V005,Vendor_5,INR,2,ITM0025,Unit assembly component assembly accessory device,4,342.45,1369.8,PO0003,4,342.45,1369.8,GRN0003,0,grn_not_received,1
INV0003_DUP,22-04-2024,V005,Vendor_5,INR,3,ITM0035,Device module component gadget widget,9,486.08,4374.72,PO0003,9,486.08,4374.72,GRN0003,9,duplicate_invoice,1
INV0003,22-04-2024,V005,Vendor_5,INR,4,ITM0049,Assembly widget unit part,17,306.44,5209.48,PO0003,17,306.44,5209.48,GRN0003,17,MATCH,0
INV0003,22-04-2024,V005,Vendor_5,INR,5,ITM0010,Device assembly part assembly widget,11,246.86,2715.46,PO0003,11,246.86,2715.46,GRN0003,11,MATCH,0
INV0004,27-02-2024,V012,Vendor_12,GBP,1,ITM0016,Component unit widget,16,408.93,6542.88,PO0004,16,408.93,6542.88,GRN0004,16,MATCH,0
INV0004,27-02-2024,V012,Vendor_12,GBP,2,ITM0049,Device gadget assembly assembly component part module,7,496.85,3253.67,PO0004,7,464.81,3253.67,GRN0004,7,price_mismatch,1
INV0004,27-02-2024,V012,Vendor_12,GBP,3,ITM0049,Device module device module,17,228.49,3884.33,PO0004,17,228.49,3884.33,GRN0004,17,MATCH,0
INV0004,27-02-2024,V012,Vendor_12,GBP,4,ITM0016,Widget widget assembly unit,1,40.14,40.14,PO0004,1,40.14,40.14,GRN0004,1,MATCH,0
INV0004,27-02-2024,V012,Vendor_12,GBP,5,ITM0041,Component accessory part,3,259.51,778.53,PO0004,3,259.51,778.53,GRN0004,0,grn_not_received,1
INV0005,22-05-2024,V016,Vendor_16,EUR,1,ITM0035,Device part unit component,16,404.71,6475.36,PO0005,16,404.71,6475.36,GRN0005,16,MATCH,0
INV0005,22-05-2024,V016,Vendor_16,EUR,2,ITM0013,Widget module module,15,432.6,6489.0,PO0005,15,432.6,6489.0,GRN0005,15,MATCH,0
INV0005,22-05-2024,V016,Vendor_16,EUR,3,ITM0004,Widget device part,4,128.08,512.32,PO0005,4,128.08,512.32,GRN0005,4,MATCH,0
INV0005,22-05-2024,V016,Vendor_16,EUR,4,ITM0013,Assembly module component component accessory module part,18,53.46,962.28,PO0005,18,53.46,962.28,GRN0005,18,MATCH,0
INV0005,22-05-2024,V016,Vendor_16,EUR,5,ITM0042,Part accessory accessory part gadget assembly gadget,13,451.71,5872.23,PO0005,13,451.71,5872.23,GRN0005,13,MATCH,0
